dataset_id,family,source_name,source_url,license_or_terms,download_tls_mode,archive_sha256,local_path,sha256,n_vars,n_clauses
flat30-60_flat30-1,satlib_graph_coloring_flat30,SATLIB,https://www.cs.ubc.ca/~hoos/SATLIB/Benchmarks/SAT/GCP/flat30-60.tar.gz,SATLIB public benchmark archive; terms are not stated as an explicit software/data license on the benchmark page. Use for reproducible research with attribution; check original terms before redistributing raw CNFs.,tls_verification_disabled_opt_in,00c7d36343683e259c202089607e413dbc1da6f68a27f2cf92bf43c391a95ac9,data_external/satlib/flat30-60/flat30-1.cnf,f673671312ec4f751464303ccee09a7dcd7f8d28439797ed4e456b1ac29dfb4f,90,300
flat30-60_flat30-10,satlib_graph_coloring_flat30,SATLIB,https://www.cs.ubc.ca/~hoos/SATLIB/Benchmarks/SAT/GCP/flat30-60.tar.gz,SATLIB public benchmark archive; terms are not stated as an explicit software/data license on the benchmark page. Use for reproducible research with attribution; check original terms before redistributing raw CNFs.,tls_verification_disabled_opt_in,00c7d36343683e259c202089607e413dbc1da6f68a27f2cf92bf43c391a95ac9,data_external/satlib/flat30-60/flat30-10.cnf,ef87318440a9047f538b82854684a23ee198d6cc5424657f172da095b9b43f12,90,300
flat30-60_flat30-100,satlib_graph_coloring_flat30,SATLIB,https://www.cs.ubc.ca/~hoos/SATLIB/Benchmarks/SAT/GCP/flat30-60.tar.gz,SATLIB public benchmark archive; terms are not stated as an explicit software/data license on the benchmark page. Use for reproducible research with attribution; check original terms before redistributing raw CNFs.,tls_verification_disabled_opt_in,00c7d36343683e259c202089607e413dbc1da6f68a27f2cf92bf43c391a95ac9,data_external/satlib/flat30-60/flat30-100.cnf,353e74c48523d35be1cf4c042b4ab89e4c9346d55999e9dde4ce147dca523507,90,300
flat30-60_flat30-11,satlib_graph_coloring_flat30,SATLIB,https://www.cs.ubc.ca/~hoos/SATLIB/Benchmarks/SAT/GCP/flat30-60.tar.gz,SATLIB public benchmark archive; terms are not stated as an explicit software/data license on the benchmark page. Use for reproducible research with attribution; check original terms before redistributing raw CNFs.,tls_verification_disabled_opt_in,00c7d36343683e259c202089607e413dbc1da6f68a27f2cf92bf43c391a95ac9,data_external/satlib/flat30-60/flat30-11.cnf,ad507ced6a763334f72661fc8f53a5e73a71e77cff82ca13a0c21e43db0a1322,90,300
flat30-60_flat30-12,satlib_graph_coloring_flat30,SATLIB,https://www.cs.ubc.ca/~hoos/SATLIB/Benchmarks/SAT/GCP/flat30-60.tar.gz,SATLIB public benchmark archive; terms are not stated as an explicit software/data license on the benchmark page. Use for reproducible research with attribution; check original terms before redistributing raw CNFs.,tls_verification_disabled_opt_in,00c7d36343683e259c202089607e413dbc1da6f68a27f2cf92bf43c391a95ac9,data_external/satlib/flat30-60/flat30-12.cnf,d19c2e9e5aaffe6a704fa2dda827e847c54fbec31ada75739011662a877be3c4,90,300
pigeon-hole_hole10,satlib_dimacs_pigeonhole,SATLIB,https://www.cs.ubc.ca/~hoos/SATLIB/Benchmarks/SAT/DIMACS/PHOLE/pigeon-hole.tar.gz,SATLIB public benchmark archive; terms are not stated as an explicit software/data license on the benchmark page. Use for reproducible research with attribution; check original terms before redistributing raw CNFs.,tls_verification_disabled_opt_in,092c4682d1a9d25451e8661af0afa3635943173b07164db495f4f0e11e806ee0,data_external/satlib/pigeon-hole/hole10.cnf,a8c786ce602fd368158c216bdf58882a3aa1b9cd844f78eb24487fc12711c56f,110,561
pigeon-hole_hole6,satlib_dimacs_pigeonhole,SATLIB,https://www.cs.ubc.ca/~hoos/SATLIB/Benchmarks/SAT/DIMACS/PHOLE/pigeon-hole.tar.gz,SATLIB public benchmark archive; terms are not stated as an explicit software/data license on the benchmark page. Use for reproducible research with attribution; check original terms before redistributing raw CNFs.,tls_verification_disabled_opt_in,092c4682d1a9d25451e8661af0afa3635943173b07164db495f4f0e11e806ee0,data_external/satlib/pigeon-hole/hole6.cnf,1c2da59d23617fa81637a8a56c359002eaaa807a27d70fb684645f84e2361fd7,42,133
pigeon-hole_hole7,satlib_dimacs_pigeonhole,SATLIB,https://www.cs.ubc.ca/~hoos/SATLIB/Benchmarks/SAT/DIMACS/PHOLE/pigeon-hole.tar.gz,SATLIB public benchmark archive; terms are not stated as an explicit software/data license on the benchmark page. Use for reproducible research with attribution; check original terms before redistributing raw CNFs.,tls_verification_disabled_opt_in,092c4682d1a9d25451e8661af0afa3635943173b07164db495f4f0e11e806ee0,data_external/satlib/pigeon-hole/hole7.cnf,225791cbb02429d71bae87f331460d456ee11fecc384a6af049813f42e6319ab,56,204
pigeon-hole_hole8,satlib_dimacs_pigeonhole,SATLIB,https://www.cs.ubc.ca/~hoos/SATLIB/Benchmarks/SAT/DIMACS/PHOLE/pigeon-hole.tar.gz,SATLIB public benchmark archive; terms are not stated as an explicit software/data license on the benchmark page. Use for reproducible research with attribution; check original terms before redistributing raw CNFs.,tls_verification_disabled_opt_in,092c4682d1a9d25451e8661af0afa3635943173b07164db495f4f0e11e806ee0,data_external/satlib/pigeon-hole/hole8.cnf,e63ad9adca73c42dab2f89a3cec77dbf7800d595f72ce740b32004431e1bfd84,72,297
pigeon-hole_hole9,satlib_dimacs_pigeonhole,SATLIB,https://www.cs.ubc.ca/~hoos/SATLIB/Benchmarks/SAT/DIMACS/PHOLE/pigeon-hole.tar.gz,SATLIB public benchmark archive; terms are not stated as an explicit software/data license on the benchmark page. Use for reproducible research with attribution; check original terms before redistributing raw CNFs.,tls_verification_disabled_opt_in,092c4682d1a9d25451e8661af0afa3635943173b07164db495f4f0e11e806ee0,data_external/satlib/pigeon-hole/hole9.cnf,e5821911954338bdf496866bdbdf2bab123cbc09dd8e6d19a38277f393bc30c6,90,415
uf20-91_uf20-01,satlib_random_3sat_uf20,SATLIB,https://www.cs.ubc.ca/~hoos/SATLIB/Benchmarks/SAT/RND3SAT/uf20-91.tar.gz,SATLIB public benchmark archive; terms are not stated as an explicit software/data license on the benchmark page. Use for reproducible research with attribution; check original terms before redistributing raw CNFs.,tls_verification_disabled_opt_in,be2835295e8500bb28f0314eba70bd0deaff1250b187260f7b6d0772bdf111a5,data_external/satlib/uf20-91/uf20-01.cnf,bbb43578ee4f0634de44a7632b6df4ee6b9204f1c82e77660616b0891b00eb24,20,91
uf20-91_uf20-010,satlib_random_3sat_uf20,SATLIB,https://www.cs.ubc.ca/~hoos/SATLIB/Benchmarks/SAT/RND3SAT/uf20-91.tar.gz,SATLIB public benchmark archive; terms are not stated as an explicit software/data license on the benchmark page. Use for reproducible research with attribution; check original terms before redistributing raw CNFs.,tls_verification_disabled_opt_in,be2835295e8500bb28f0314eba70bd0deaff1250b187260f7b6d0772bdf111a5,data_external/satlib/uf20-91/uf20-010.cnf,63eaf772326a657b653d9c80e8df3715a298d621392cff0dfff281cc5486e35a,20,91
uf20-91_uf20-0100,satlib_random_3sat_uf20,SATLIB,https://www.cs.ubc.ca/~hoos/SATLIB/Benchmarks/SAT/RND3SAT/uf20-91.tar.gz,SATLIB public benchmark archive; terms are not stated as an explicit software/data license on the benchmark page. Use for reproducible research with attribution; check original terms before redistributing raw CNFs.,tls_verification_disabled_opt_in,be2835295e8500bb28f0314eba70bd0deaff1250b187260f7b6d0772bdf111a5,data_external/satlib/uf20-91/uf20-0100.cnf,a41cdfef7f617306139249d0dd80e3dd42f8d71ff635b8d139f425999884a4d3,20,91
uf20-91_uf20-01000,satlib_random_3sat_uf20,SATLIB,https://www.cs.ubc.ca/~hoos/SATLIB/Benchmarks/SAT/RND3SAT/uf20-91.tar.gz,SATLIB public benchmark archive; terms are not stated as an explicit software/data license on the benchmark page. Use for reproducible research with attribution; check original terms before redistributing raw CNFs.,tls_verification_disabled_opt_in,be2835295e8500bb28f0314eba70bd0deaff1250b187260f7b6d0772bdf111a5,data_external/satlib/uf20-91/uf20-01000.cnf,10fde5a52f77b0ef88d6381a6ea99399da1f59cf8e9249b5ed9f921b0db5096d,20,91
uf20-91_uf20-0101,satlib_random_3sat_uf20,SATLIB,https://www.cs.ubc.ca/~hoos/SATLIB/Benchmarks/SAT/RND3SAT/uf20-91.tar.gz,SATLIB public benchmark archive; terms are not stated as an explicit software/data license on the benchmark page. Use for reproducible research with attribution; check original terms before redistributing raw CNFs.,tls_verification_disabled_opt_in,be2835295e8500bb28f0314eba70bd0deaff1250b187260f7b6d0772bdf111a5,data_external/satlib/uf20-91/uf20-0101.cnf,bbe6caaab1c55a06baad6572beea01d508351f125a0b063364d761e4597f24f4,20,91
uuf50-218_uuf50-01,satlib_random_3sat_uuf50,SATLIB,https://www.cs.ubc.ca/~hoos/SATLIB/Benchmarks/SAT/RND3SAT/uuf50-218.tar.gz,SATLIB public benchmark archive; terms are not stated as an explicit software/data license on the benchmark page. Use for reproducible research with attribution; check original terms before redistributing raw CNFs.,tls_verification_disabled_opt_in,24cc9f492673e0f975fecc56b3a4d8ac21c385cc46205d83b7491a787f43e13d,data_external/satlib/uuf50-218/uuf50-01.cnf,d95207c572bc997a7f83240c0cd39e9ec82cc2c8fb20bf95e551bc9870484966,50,218
uuf50-218_uuf50-010,satlib_random_3sat_uuf50,SATLIB,https://www.cs.ubc.ca/~hoos/SATLIB/Benchmarks/SAT/RND3SAT/uuf50-218.tar.gz,SATLIB public benchmark archive; terms are not stated as an explicit software/data license on the benchmark page. Use for reproducible research with attribution; check original terms before redistributing raw CNFs.,tls_verification_disabled_opt_in,24cc9f492673e0f975fecc56b3a4d8ac21c385cc46205d83b7491a787f43e13d,data_external/satlib/uuf50-218/uuf50-010.cnf,e0e69e8076800ea1b705b38dbfa4ce377cb200107f8f97d5c8f074a0ddb43332,50,218
uuf50-218_uuf50-0100,satlib_random_3sat_uuf50,SATLIB,https://www.cs.ubc.ca/~hoos/SATLIB/Benchmarks/SAT/RND3SAT/uuf50-218.tar.gz,SATLIB public benchmark archive; terms are not stated as an explicit software/data license on the benchmark page. Use for reproducible research with attribution; check original terms before redistributing raw CNFs.,tls_verification_disabled_opt_in,24cc9f492673e0f975fecc56b3a4d8ac21c385cc46205d83b7491a787f43e13d,data_external/satlib/uuf50-218/uuf50-0100.cnf,158c337446c0f04a916d3b222f6edb1626e0a9048027a80f5069b15061cf4d42,50,218
uuf50-218_uuf50-01000,satlib_random_3sat_uuf50,SATLIB,https://www.cs.ubc.ca/~hoos/SATLIB/Benchmarks/SAT/RND3SAT/uuf50-218.tar.gz,SATLIB public benchmark archive; terms are not stated as an explicit software/data license on the benchmark page. Use for reproducible research with attribution; check original terms before redistributing raw CNFs.,tls_verification_disabled_opt_in,24cc9f492673e0f975fecc56b3a4d8ac21c385cc46205d83b7491a787f43e13d,data_external/satlib/uuf50-218/uuf50-01000.cnf,dcca9dae0f5e4a20148278c3e6fd92ad9a6f2e034dbfb8eae8f26814152a076b,50,218
uuf50-218_uuf50-0101,satlib_random_3sat_uuf50,SATLIB,https://www.cs.ubc.ca/~hoos/SATLIB/Benchmarks/SAT/RND3SAT/uuf50-218.tar.gz,SATLIB public benchmark archive; terms are not stated as an explicit software/data license on the benchmark page. Use for reproducible research with attribution; check original terms before redistributing raw CNFs.,tls_verification_disabled_opt_in,24cc9f492673e0f975fecc56b3a4d8ac21c385cc46205d83b7491a787f43e13d,data_external/satlib/uuf50-218/uuf50-0101.cnf,2652bd92c417c976e0abc7bf606429d9f07754e08480f96d93ace8338fd7d3ea,50,218
