dataset_id,family,decision_index,fingerprint,priority,H,B,S,V,predictors,R_variants,delta_variants,G_variants,weight
aim_aim-100-1_6-yes1-1,satlib_dimacs_aim,27,1d7bada7572c0df8e2812abd60e7941ad6796c772f578cc09f3efd00bdf2125b,4ab038062d1063c02ff89cff78108a5b61a136e5375b8ebf323aa7584c71c8b9,0.7388404311059551,0.7178890007950145,0.4531249998300781,0.8157523148148148,"[10.0, 1.1666666666666667, 1.6749792701868151, 1.4356965160723871, 0.59999999994, 0.81210608797909, 1.25, 0.5078125, 0.2186104465567691, 0.43049441698712554, 0.29999999975999997, 0.9749420996984867, 2.1, 1.1545833333333333, 0.2412032194137457, 0.20890932013410585, 0.009523809519274383, 0.9953815280757834]","{""HBSV"": 0.6654203413100207, ""HBV"": 0.7563487422924509, ""HSV"": 0.6487972452341798, ""BSV"": 0.6426056592777015, ""HBS"": 0.6217397850399657}","{""HBSV"": -0.04832595648729876, ""HBV"": -0.0216924608872735, ""HSV"": -0.05317282990141581, ""BSV"": -0.05056203903577838, ""HBS"": -0.06377363707078743}","{""HBSV"": 0.0083201560322089, ""HBV"": 0.031258419556849104, ""HSV"": 0.008353682573529237, ""BSV"": 0.00861458999993327, ""HBS"": 0.005444757781479272, ""value_only"": 0.10142170177012014, ""response_only"": 0.06919040436120139}",0.0009689922480620155
aim_aim-100-1_6-yes1-1,satlib_dimacs_aim,6,5d620fc6de4dd4891e09609ed1e100feecd7a6f4dcbe34a0c7b7493857558a49,5697a6858c8f460dfd848178b2351fd54358c90fbcbe72e7b39f9a7b5bba7b8c,0.8511870295648899,0.795273725455201,0.6066790349904585,0.7781493506493506,"[7.0, 0.2597402597402597, 0.9452904096144334, 3.6393680630040017, 0.4285714285102041, 0.46903685853663474, 0.875, 0.5422077922077922, 0.1390050300558938, 0.2563685579536154, 0.0, 0.9927297512951804, 1.1600000000000001, 1.0963636363636364, 0.019534125378663048, 0.017817195602761553, 0.01724137929548158, 0.9999636782786417]","{""HBSV"": 0.7518667763345507, ""HBV"": 0.8076097070455747, ""HSV"": 0.7379308178484058, ""BSV"": 0.7214056294539963, ""HBS"": 0.7433046897765812}","{""HBSV"": -0.018554050727089044, ""HBV"": -0.010727935061750182, ""HSV"": -0.01615055819886413, ""BSV"": -0.018367765550860615, ""HBS"": -0.02842037714450274}","{""HBSV"": 0.23498776822216333, ""HBV"": 0.2670545275877398, ""HSV"": 0.25339848438171164, ""BSV"": 0.1867977420253793, ""HBS"": 0.20624156864335583, ""value_only"": 0.43909235110343003, ""response_only"": 0.28180781983475944}",0.0009689922480620155
aim_aim-100-1_6-yes1-1,satlib_dimacs_aim,3,3b8b36505e491f2c3e69049b4eeb37fb8172da39ebd2ac97cbe548684666a071,57d45e713a6c756837693b7cb5cd4514be52e4aba83a3ddbb8f732a6585a52ee,0.8950055494096519,0.8297106900427014,0.5859374997802734,0.7596276264245014,"[4.0, 0.14583333333333334, 0.49956578367840826, 3.425593921733584, 0.7499999998125, 0.4914115077002562, 1.0, 0.59375, 0.12236812629657011, 0.2060936860471182, 0.12499999987499999, 0.9955429324514851, 1.1600000000000001, 1.0952083333333336, 0.018651360912514924, 0.01702996619713292, 0.01724137929548158, 0.9999684244297089]","{""HBSV"": 0.758230263474437, ""HBV"": 0.8262618889986127, ""HSV"": 0.7357991089228075, ""BSV"": 0.7174520982170564, ""HBS"": 0.7577650472804418}","{""HBSV"": -0.0040389256886752545, ""HBV"": -0.001459929600029164, ""HSV"": -0.006678606135504972, ""BSV"": -0.0022780726912904337, ""HBS"": -0.00553612426479877}","{""HBSV"": 0.44357204476790163, ""HBV"": 0.6215815076957096, ""HSV"": 0.34215454377962157, ""BSV"": 0.32938004734920606, ""HBS"": 0.4936879759467555, ""value_only"": 0.47445132400324164, ""response_only"": 0.46894161831497844}",0.0009689922480620155
aim_aim-100-1_6-yes1-1,satlib_dimacs_aim,37,cf24a275e572388b9c7160464d3262b0bb672f05e39c9cea6cba48b44d5fba45,5936f127bffa62bd9a7225ea769dbd2f6a2762c9dea13111e2d2cd2a12101bb7,0.8253358925597282,0.8130857353247063,0.6976744182241014,0.8023643410852713,"[4.0, 0.32558139534883723, 0.7383492030877927, 2.2677868310900178, 0.499999999875, 0.5700181151484747, 0.75, 0.49709302325581395, 0.13340458029748564, 0.26836944754395303, 0.0, 0.9903555797316976, 2.14, 1.2367441860465118, 0.3467303820189906, 0.28035739779543484, 0.018691588776312357, 0.9910562645413069]","{""HBSV"": 0.7828848215854285, ""HBV"": 0.8135412240244547, ""HSV"": 0.7730692226602724, ""BSV"": 0.76922534763214, ""HBS"": 0.7764973138587314}","{""HBSV"": 0.054484492973407184, ""HBV"": 0.01727392037037223, ""HSV"": 0.055121430002002425, ""BSV"": 0.07328249972593825, ""HBS"": 0.06895045297859714}","{""HBSV"": 0.9732993938239171, ""HBV"": 0.9191162145686372, ""HSV"": 0.9606860378633345, ""BSV"": 0.9863578485181268, ""HBS"": 0.977257343826046, ""value_only"": 0.6106530714921601, ""response_only"": 0.9587487355427314}",0.0009689922480620155
aim_aim-100-1_6-yes1-1,satlib_dimacs_aim,30,46b2d58c3b1063ed1d0bc66a13edf612c50169f4fa217737f96be6dc6163f5b5,5a8a296a17985680770bbe2e323f5b9a99f99e96963982be502cbe72fe682c26,0.8848702980502953,0.8114308605804758,0.5551470586275951,0.7604666456228957,"[4.0, 0.20833333333333334, 0.6441510347391795, 3.0919249519068215, 0.0, 0.5348440624379647, 1.125, 0.6080729166666666, 0.148910749611391, 0.24488962636718, 0.0, 0.993739159921636, 5.12, 1.3452083333333336, 0.7232982602383949, 0.5376849382938528, 0.007812499998474128, 0.9783988031090753]","{""HBSV"": 0.7420015936170221, ""HBV"": 0.8173419124565386, ""HSV"": 0.7202046875928785, ""BSV"": 0.6997022087091332, ""HBS"": 0.7359467535890207}","{""HBSV"": -0.0020831913273466895, ""HBV"": -0.0015512567223711082, ""HSV"": -0.002185059748884721, ""BSV"": -0.000746796923874693, ""HBS"": -0.003853288341787775}","{""HBSV"": 0.3820244998817974, ""HBV"": 0.5717879411323139, ""HSV"": 0.31982255807604854, ""BSV"": 0.270889683658579, ""HBS"": 0.41411793363745913, ""value_only"": 0.3855969311811998, ""response_only"": 0.49622369730726645}",0.0009689922480620155
aim_aim-100-1_6-yes1-1,satlib_dimacs_aim,24,def9595e716d07af97cd439bee5f919f2c2e5f344c8f134b67e63dbdb9d31ace,642773b4ec1f2c52850a8cbae312025f076bcf02d1bf6a9b5b042de5d7977fc4,0.783289817312057,0.7570434387953107,0.539999999784,0.798699074074074,"[7.0, 0.8333333333333334, 1.1279282877125754, 1.3535139436308736, 0.4285714285102041, 0.8279866406062689, 1.125, 0.55, 0.18984642916490863, 0.34517532512678784, 0.11111111101234566, 0.9847735920237869, 3.12, 1.1766666666666667, 0.3334099911853606, 0.28335126705553193, 0.32692307681829386, 0.9926186305242514]","{""HBSV"": 0.7111399147015253, ""HBV"": 0.7794868993937653, ""HSV"": 0.6964658191005078, ""BSV"": 0.6885982481322914, ""HBS"": 0.684141097636354}","{""HBSV"": -0.015575699099868445, ""HBV"": 0.0019842708102888462, ""HSV"": -0.019472032711051912, ""BSV"": -0.023976521611798307, ""HBS"": -0.019012711548758388}","{""HBSV"": 0.127156343781471, ""HBV"": 0.46850180801980346, ""HSV"": 0.10827965567089363, ""BSV"": 0.08110643080372368, ""HBS"": 0.11960134726162831, ""value_only"": 0.23916548194729526, ""response_only"": 0.3166783937473808}",0.0009689922480620155
aim_aim-100-1_6-yes1-1,satlib_dimacs_aim,2,8cc38f4f908da3597a7a0800f9aec388acca2cc079fd5b7266783f5c6b4f47e7,65754749abddfa891cffe52cae9cb0df2ffd482f51660935412d3da01e30b9f3,0.9055748199696716,0.8248656042894933,0.5953608245190077,0.75918160590841,"[1.0, 0.08247422680412371, 0.27508585699229554, 3.335415975589665, 0.0, 0.4545514572289166, 1.0, 0.6005154639175257, 0.13267564614673968, 0.22093626875198166, 0.0, 0.9949373651840382, 1.1600000000000001, 1.0956701030927836, 0.019098616374283582, 0.017430991594041222, 0.01724137929548158, 0.9999669945915914]","{""HBSV"": 0.7622691891631123, ""HBV"": 0.8277218185986419, ""HSV"": 0.7424777150583125, ""BSV"": 0.7197301709083468, ""HBS"": 0.7633011715452406}","{""HBSV"": -0.00036617493702117976, ""HBV"": -0.0008382736493874887, ""HSV"": 0.00042533026723701184, ""BSV"": 0.0002904894131855462, ""HBS"": -0.0014405691931151932}","{""HBSV"": 0.5172541836370986, ""HBV"": 0.6460841097066148, ""HSV"": 0.45974683288577795, ""BSV"": 0.3703257967180565, ""HBS"": 0.5659668896281927, ""value_only"": 0.49705034347549226, ""response_only"": 0.5201997279886218}",0.0009689922480620155
aim_aim-100-1_6-yes1-1,satlib_dimacs_aim,14,dd9ccf6fb27781a21c3d1ab24cb4b69bd54d058431a4a1e507933d2d9f02f922,675f81a081ecb4eb4363811437749ba76ffc88a221c7ac3d57699e6d5e1919aa,0.8453198798284544,0.7793847330629164,0.5813333331008,0.7776215488215489,"[4.0, 0.48, 0.6605048574133779, 1.3760517834110961, 0.499999999875, 0.7854053018318098, 1.0, 0.5733333333333334, 0.1708963298481145, 0.2980749934012317, 0.0, 0.989260994383379, 2.1, 1.1216000000000002, 0.16138599691423045, 0.1438890841390347, 0.009523809519274383, 0.9980729015116737]","{""HBSV"": 0.7387400124677049, ""HBV"": 0.8001666035060896, ""HSV"": 0.7256683778290384, ""BSV"": 0.7062879589893666, ""HBS"": 0.7262164255811295}","{""HBSV"": 0.009061390199235575, ""HBV"": -0.002548913435042044, ""HSV"": 0.01225040821897072, ""BSV"": 0.01342428340052515, ""HBS"": 0.011764526325150348}","{""HBSV"": 0.5171770182745101, ""HBV"": 0.4484888030268441, ""HSV"": 0.5192930949239941, ""BSV"": 0.47075581563208, ""HBS"": 0.5490224162698033, ""value_only"": 0.36843686213246696, ""response_only"": 0.6474076719073842}",0.0009689922480620155
aim_aim-100-1_6-yes1-1,satlib_dimacs_aim,10,6702857368408fb293a409dab1ca14066a466668cf4688f6531decd0a0c42d3c,698628a0511486b6cd5744ac40bcc3adcccd17895f7c82ae13edf8e6dbfbfcd8,0.865706387344365,0.8040737879279042,0.5735294115496322,0.7714062342885872,"[4.0, 0.35294117647058826, 0.6079063850712383, 1.7224014194883708, 0.7499999998125, 0.7239726793351208, 1.0, 0.5941176470588235, 0.1446419035992565, 0.24345666901471258, 0.12499999987499999, 0.9933117846140435, 2.1, 1.1185882352941179, 0.15196867278702714, 0.13585756389723821, 0.009523809519274383, 0.9983327974560069]","{""HBSV"": 0.7449486565560788, ""HBV"": 0.8127991179736794, ""HSV"": 0.7262227005396014, ""BSV"": 0.7085626366937086, ""HBS"": 0.7363326762147892}","{""HBSV"": -0.007170104916858322, ""HBV"": -0.004717411655573045, ""HSV"": -0.007018181124179845, ""BSV"": -0.0065131949743649775, ""HBS"": -0.010202670642405876}","{""HBSV"": 0.3319892692526526, ""HBV"": 0.4538729770560727, ""HSV"": 0.29529037548535997, ""BSV"": 0.2475163100302758, ""HBS"": 0.3467469358538315, ""value_only"": 0.40135202828364175, ""response_only"": 0.42571228718138754}",0.0009689922480620155
aim_aim-100-1_6-yes1-1,satlib_dimacs_aim,33,fe7d9e0213fc4abca9427a11bd7091f944ef9c1b70b15d0e3be5634a192307b3,6bbab8fbf58551033cbf51597ba6ce4233481d23f6070798d55eb35721944b75,0.8805225758326904,0.7915735691693272,0.5461300307670004,0.7571105794790005,"[7.0, 0.37894736842105264, 1.2746842529027878, 3.3637501029502377, 0.0, 0.48544247641508176, 1.125, 0.6013157894736842, 0.15737854218465172, 0.2617236145764231, 0.11111111101234566, 0.9921497668381666, 5.08, 1.2734736842105263, 0.5790623426505132, 0.4547108820350571, 0.19291338578879666, 0.9845855720827125]","{""HBSV"": 0.7326925712760004, ""HBV"": 0.808097379180486, ""HSV"": 0.7140554794923509, ""BSV"": 0.689152843738343, ""HBS"": 0.7247295108861459}","{""HBSV"": -0.005696302696313049, ""HBV"": -0.004961751513204549, ""HSV"": -0.005280078868958871, ""BSV"": -0.005473536315709127, ""HBS"": -0.006974850304553248}","{""HBSV"": 0.2908168295444005, ""HBV"": 0.421310886102151, ""HSV"": 0.2618288247742082, ""BSV"": 0.18996031254077758, ""HBS"": 0.3325583070323436, ""value_only"": 0.3375098856730681, ""response_only"": 0.4459595634766688}",0.0009689922480620155
aim_aim-100-1_6-yes1-1,satlib_dimacs_aim,8,5f79e1367d2c30e043de8fa9c778b3a6fc90e0308a845d2e0cd893bfef892a1a,75ab7921964762e4fa8bfb746c2a565c9019b2105bede81f15b51887603fa448,0.8912261278932819,0.8217746856535023,0.5910326084740148,0.7641041898922334,"[4.0, 0.2608695652173913, 0.5685520361140008, 2.17944946341578, 0.7499999998125, 0.6517343126388583, 1.0, 0.6059782608695652, 0.143867842303794, 0.23741419677321873, 0.0, 0.9939762319720896, 2.1, 1.138695652173913, 0.20367929496757325, 0.17887070561818091, 0.0, 0.997130387005742]","{""HBSV"": 0.758361318815715, ""HBV"": 0.8240705932304876, ""HSV"": 0.7383302200352697, ""BSV"": 0.7186304150149044, ""HBS"": 0.7564566361707641}","{""HBSV"": -0.004191100119665281, ""HBV"": -0.002654994868693583, ""HSV"": -0.0031674689409078027, ""BSV"": -0.0042827586917491, ""HBS"": -0.006538011976149227}","{""HBSV"": 0.44219831296524675, ""HBV"": 0.5761029049975962, ""HSV"": 0.39499121740771076, ""BSV"": 0.3117810278403548, ""HBS"": 0.4761396427415283, ""value_only"": 0.475183477996229, ""response_only"": 0.4668244822297601}",0.0009689922480620155
aim_aim-100-1_6-yes1-1,satlib_dimacs_aim,35,c214ddb33074d87791956ec93aaca11eadd181d370e450806559435ef01ff09c,78b65db20ea09f35792d1ecfb5f6378ed961654b872868b9f55eb02441be28ba,0.841981132117392,0.7654841738929264,0.5647058821270586,0.7940093811417341,"[7.0, 0.5588235294117647, 1.3760808900340689, 2.462460535654457, 0.0, 0.6057241193307447, 1.125, 0.5643382352941176, 0.19646771253178993, 0.3481382261495327, 0.11111111101234566, 0.985419040368571, 5.08, 1.3161764705882353, 0.6598507616739264, 0.5013391258071054, 0.19291338578879666, 0.9796726113036858]","{""HBSV"": 0.733198605383318, ""HBV"": 0.7998736738331331, ""HSV"": 0.7227422358052107, ""BSV"": 0.7001558477907789, ""HBS"": 0.7139815057915688}","{""HBSV"": -0.018933725444558402, ""HBV"": -0.005660467014577231, ""HSV"": -0.02248453869379785, ""BSV"": -0.02078064729912754, ""HBS"": -0.025466458080275478}","{""HBSV"": 0.1652321180451574, ""HBV"": 0.3587088983023229, ""HSV"": 0.1529497618388664, ""BSV"": 0.11642031638731155, ""HBS"": 0.14828491970423402, ""value_only"": 0.34004941143631445, ""response_only"": 0.2775337000947404}",0.0009689922480620155
